2025-08-28T15:59:50.321Z||EGAPxut0X8zGqDR6||CONF||[{"BootInfo":{"region":"use-1","platform":{"cloud":"aws"}},"AppNodeConfig":{"version":"1.2.3","program":"1.2.2-1231321.jar","github":{"repository":"RepoOwner/steplogs-logging-integration-java-spring-example","branch":"main","commit":"xxxxxxx","sourcePaths":["src/main/java"]},"internalIp":"12.2.2.2","externalIp":"12.2.2.2","hostId":"node-123.test.test","httpHeaderIdType":1,"applicationName":"steplogs-logging-integration-java-spring-example"},"LoggerConfig":{"fileName":"./logs/steplogs-logging-integration-java-spring-example","logLight":false,"logPretty":false,"printFile":true,"printStdout":true,"logAsync":true,"logVersion":null,"fileMaxLength":536870912,"logDateTimeFormat":"yyyy-MM-dd HH:mm:ss.SSS","logSanitizerPatterns":["/JSON/*Service*.java*.service.*UserService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*Service*.java*.service.*MedicService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*.java*.Medic*#*/*/MASK$4(deceases)/yyyy-MM-dd HH:mm:ss.ssss/DATE_FORMATER(timeCreated)","/HTTP/LoggingHttpHeaderHandlerInterceptor.java#io.steplogs.logger.spring.LoggingHttpHeaderHandlerInterceptor#preHandle*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)"]}}]
2025-08-28 15:59:58.717|http-nio-80-exec-2|3jpxwtmwOJ51IGR6lBxd8A3Qt2jk5Lg8|9|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#save#54R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-08-28 15:59:58.717|http-nio-80-exec-2|3jpxwtmwOJ51IGR6lBxd8A3Qt2jk5Lg8|10|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#save#48#R|[{"user":{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"},"medicConditionDO":{"id":123,"deceases":"unko***wn","timeCreated":"1970-01-01 00:00:00.0000","userId":0}}]
2025-08-28 15:59:58.571|http-nio-80-exec-4|3Rt8MIKWD136ikMeDrVdgHJ5tkVHj7eC|1|JSON|UserServiceImpl.java#io.steplogs.example.web.service.rpc.UserServiceImpl#getById#24#|[{"userId":0}]
2025-08-28 15:59:58.572|http-nio-80-exec-4|3Rt8MIKWD136ikMeDrVdgHJ5tkVHj7eC|2|JSON|UserServiceImpl.java#io.steplogs.example.web.service.rpc.UserServiceImpl#getById#29|["This should be remote service, will be with trace",0]
2025-08-28 15:59:58.572|http-nio-80-exec-4|3Rt8MIKWD136ikMeDrVdgHJ5tkVHj7eC|3|JSON|UserServiceImpl.java#io.steplogs.example.web.service.rpc.UserServiceImpl#getById#24#R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-08-28 15:59:58.713|http-nio-80-exec-3|1XlbES1ruJ7kU8uwXS7jEpkZzW7uFe8f|1|JSON|UserServiceImpl.java#io.steplogs.example.web.service.rpc.UserServiceImpl#save#60#|[{"user":{"name":"br***ng","id":0,"age":1001,"driverLisenceId":"******"}}]
2025-08-28 15:59:58.713|http-nio-80-exec-3|1XlbES1ruJ7kU8uwXS7jEpkZzW7uFe8f|2|JSON|UserServiceImpl.java#io.steplogs.example.web.service.rpc.UserServiceImpl#save#60#R|[{"name":"br***ng","id":789,"age":1001,"driverLisenceId":"******"}]
2025-08-28 15:59:59.235|http-nio-80-exec-5|pKxfyhc7dn6ZqDeeqm3X84oCdIYOJmK1|1|HTTP|LoggingHttpHeaderHandlerInterceptor.java#io.steplogs.logger.spring.LoggingHttpHeaderHandlerInterceptor#preHandle#66|[{"remoteHost":"0:0:0:0:0:0:0:1"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/test_async_email"},{"httpHeaders":{}},{"httpBody":{}}]
2025-08-28 15:59:59.236|http-nio-80-exec-5|pKxfyhc7dn6ZqDeeqm3X84oCdIYOJmK1|2|JSON|SMTPEmailScheduler.java#io.steplogs.example.web.service.SMTPEmailScheduler#unHookedThreadDelivery#39#|[{"recipient":"test@email.email","verificationUrl":"http://localhost/unHookedThreadDelivery/1756396799235"}]
2025-08-28 15:59:59.242|http-nio-80-exec-5|pKxfyhc7dn6ZqDeeqm3X84oCdIYOJmK1|3|JSON|SMTPEmailScheduler.java#io.steplogs.example.web.service.SMTPEmailScheduler#unHookedThreadDelivery#39#R|[null]
2025-08-28 16:00:00.036|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|1|HTTP|LoggingHttpHeaderHandlerInterceptor.java#io.steplogs.logger.spring.LoggingHttpHeaderHandlerInterceptor#preHandle#66|[{"remoteHost":"0:0:0:0:0:0:0:1"},{"method":"GET"},{"requestURL":"http://localhost/api/medic/query"},{"httpHeaders":{}},{"httpBody":{"session_id":["xxx"],"offset":["0"],"size":["123"]}}]
2025-08-28 16:00:00.043|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|2|JSON|ForStaticMethod.java#io.steplogs.example.web.test.ForStaticMethod#runStatic#15#|[{"userId":1756396800043}]
2025-08-28 16:00:00.043|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|3|JSON|ForStaticMethod.java#io.steplogs.example.web.test.ForStaticMethod#runStatic#15#R|["e1d2fb44-c29c-4925-93cc-99081578eaf8"]
2025-08-28 16:00:00.044|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|4|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#query#28#|[{"sessionId":"xxx","page":{"size":123,"offset":0}}]
2025-08-28 16:00:00.045|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|5|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#query#29|[{"sessionId":"xxx"}]
2025-08-28 16:00:00.052|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|6|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#query#29R|[{"name":"ra***ly","id":456,"age":null,"driverLisenceId":"****************************"}]
2025-08-28 16:00:00.052|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|7|JSON|MedicDAO.java#io.steplogs.example.web.dao.MedicDAO#query#17#|[{"userId":456,"page":{"size":123,"offset":0}}]
2025-08-28 16:00:00.053|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|8|JSON|MedicDAO.java#io.steplogs.example.web.dao.MedicDAO#query#17#R|[[{"id":321,"deceases":"idk,***ever","timeCreated":"5490-12-21 05:31:51.0051","userId":123},{"id":654,"deceases":"idk,***ever","timeCreated":"9011-12-11 11:03:42.0042","userId":456},{"id":987,"deceases":"idk,***ever","timeCreated":"12532-11-29 16:35:33.0033","userId":789}]]
2025-08-28 16:00:00.053|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|9|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#callSelfInvocation#68#|[{"testString":"xxx"}]
2025-08-28 16:00:00.053|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|10|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#callSelfInvocation_protected#73#|[{"testString":"xxx"}]
2025-08-28 16:00:00.053|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|11|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#callSelfInvocation_friendly#78#|[{"testString":"xxx"}]
2025-08-28 16:00:00.054|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|12|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#callSelfInvocation_private#83#|[{"testString":"xxx"}]
2025-08-28 16:00:00.054|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|13|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#callSelfInvocation_final#88#|[{"testString":"xxx"}]
2025-08-28 16:00:00.054|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|14|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#callSelfInvocation_final#88#R|["1756396800054"]
2025-08-28 16:00:00.054|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|15|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#callSelfInvocation_private#83#R|["1756396800054"]
2025-08-28 16:00:00.054|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|16|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#callSelfInvocation_friendly#78#R|["1756396800054"]
2025-08-28 16:00:00.054|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|17|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#callSelfInvocation_protected#73#R|["1756396800054"]
2025-08-28 16:00:00.054|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|18|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#callSelfInvocation#68#R|["1756396800054"]
2025-08-28 16:00:00.055|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|19|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#lambda$0#38|[{"userId":123}]
2025-08-28 16:00:00.060|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|20|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-08-28 16:00:00.060|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|21|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#lambda$0#38|[{"userId":456}]
2025-08-28 16:00:00.063|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|22|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-08-28 16:00:00.064|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|23|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#lambda$0#38|[{"userId":789}]
2025-08-28 16:00:00.068|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|24|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#lambda$0#38R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-08-28 16:00:00.068|http-nio-80-exec-6|nDdQfZsrSYAtkp0PQq2QZVCUW0ZrMlXk|25|JSON|MedicService.java#io.steplogs.example.web.service.MedicService#query#28#R|[[{"user":{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"},"medicConditionDO":{"id":321,"deceases":"idk,***ever","timeCreated":"5490-12-21 05:31:51.0051","userId":123}},{"user":{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"},"medicConditionDO":{"id":654,"deceases":"idk,***ever","timeCreated":"9011-12-11 11:03:42.0042","userId":456}},{"user":{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"},"medicConditionDO":{"id":987,"deceases":"idk,***ever","timeCreated":"12532-11-29 16:35:33.0033","userId":789}}]]
2025-08-28 16:00:00.050|http-nio-80-exec-7|3sBBWcIlThrtV9JfFaOpbpK7Y3cICRqG|1|JSON|UserServiceImpl.java#io.steplogs.example.web.service.rpc.UserServiceImpl#getBySessionId#43#|[{"sessionId":"xxx"}]
2025-08-28 16:00:00.051|http-nio-80-exec-7|3sBBWcIlThrtV9JfFaOpbpK7Y3cICRqG|2|JSON|UserServiceImpl.java#io.steplogs.example.web.service.rpc.UserServiceImpl#getBySessionId#43#R|[{"name":"ra***ly","id":456,"age":null,"driverLisenceId":"****************************"}]
2025-08-28 16:00:00.058|http-nio-80-exec-8|6XwxlwqtzEBqFdLXHaQynfS014NzzLY7|1|JSON|UserServiceImpl.java#io.steplogs.example.web.service.rpc.UserServiceImpl#getById#24#|[{"userId":123}]
2025-08-28 16:00:00.058|http-nio-80-exec-8|6XwxlwqtzEBqFdLXHaQynfS014NzzLY7|2|JSON|UserServiceImpl.java#io.steplogs.example.web.service.rpc.UserServiceImpl#getById#29|["This should be remote service, will be with trace",123]
2025-08-28 16:00:00.058|http-nio-80-exec-8|6XwxlwqtzEBqFdLXHaQynfS014NzzLY7|3|JSON|UserServiceImpl.java#io.steplogs.example.web.service.rpc.UserServiceImpl#getById#24#R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-08-28 16:00:00.062|http-nio-80-exec-9|6TEPJ5vvyAyXEb0EhjHebMD2W4brm1Zn|1|JSON|UserServiceImpl.java#io.steplogs.example.web.service.rpc.UserServiceImpl#getById#24#|[{"userId":456}]
2025-08-28 16:00:00.062|http-nio-80-exec-9|6TEPJ5vvyAyXEb0EhjHebMD2W4brm1Zn|2|JSON|UserServiceImpl.java#io.steplogs.example.web.service.rpc.UserServiceImpl#getById#29|["This should be remote service, will be with trace",456]
2025-08-28 16:00:00.062|http-nio-80-exec-9|6TEPJ5vvyAyXEb0EhjHebMD2W4brm1Zn|3|JSON|UserServiceImpl.java#io.steplogs.example.web.service.rpc.UserServiceImpl#getById#24#R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-08-28 16:00:00.066|http-nio-80-exec-10|6yCg1HEurIcHF8lkhjU7N0TdbuzvK7tI|1|JSON|UserServiceImpl.java#io.steplogs.example.web.service.rpc.UserServiceImpl#getById#24#|[{"userId":789}]
2025-08-28 16:00:00.066|http-nio-80-exec-10|6yCg1HEurIcHF8lkhjU7N0TdbuzvK7tI|2|JSON|UserServiceImpl.java#io.steplogs.example.web.service.rpc.UserServiceImpl#getById#29|["This should be remote service, will be with trace",789]
2025-08-28 16:00:00.067|http-nio-80-exec-10|6yCg1HEurIcHF8lkhjU7N0TdbuzvK7tI|3|JSON|UserServiceImpl.java#io.steplogs.example.web.service.rpc.UserServiceImpl#getById#24#R|[{"name":"ra***ly","id":123,"age":null,"driverLisenceId":"****************************"}]
2025-08-28 16:00:01.884|scheduling-1|2kqLo9obUCbsCqMx1eneIXW7j3R6oeeA|1|JSON|SMTPEmailScheduler.java#io.steplogs.example.web.service.SMTPEmailScheduler#runMailRunnable#23#|[]
2025-08-28 16:00:01.905|scheduling-1|pKxfyhc7dn6ZqDeeqm3X84oCdIYOJmK1|2-1|JSON|SMTPEmailService.java#io.steplogs.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"tes***ail","verificationUrl":"http://localhost/unHookedThreadDelivery/1756396799235"}]
2025-08-28 16:00:01.907|scheduling-1|pKxfyhc7dn6ZqDeeqm3X84oCdIYOJmK1|2-2|TEXT|SMTPEmailService.java#io.steplogs.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/unHookedThreadDelivery/1756396799235'>link</a> or copy http://localhost/unHookedThreadDelivery/1756396799235 to your brower before it expires in 10 minutes.</body></html>
2025-08-28 16:00:01.915|scheduling-1|pKxfyhc7dn6ZqDeeqm3X84oCdIYOJmK1|2-3|JSON|SMTPEmailService.java#io.steplogs.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/unHookedThreadDelivery/1756396799235'>link</a> or copy http://localhost/unHookedThreadDelivery/1756396799235 to your brower before it expires in 10 minutes.</body></html>"]
2025-08-28 16:00:01.915|scheduling-1|pKxfyhc7dn6ZqDeeqm3X84oCdIYOJmK1|2-4|JSON|SMTPEmailScheduler.java#io.steplogs.example.web.service.SMTPEmailScheduler#runMailRunnable#23#R|[null]
2025-08-28 16:00:06.919|scheduling-1|byYnwfZmmV3UXYZZYIWHbPcFjno46WN2|1|JSON|SMTPEmailScheduler.java#io.steplogs.example.web.service.SMTPEmailScheduler#runMailRunnable#23#|[]
2025-08-28 16:00:06.921|scheduling-1|byYnwfZmmV3UXYZZYIWHbPcFjno46WN2|2|JSON|SMTPEmailScheduler.java#io.steplogs.example.web.service.SMTPEmailScheduler#runMailRunnable#23#R|[null]
2025-08-28 16:00:11.929|scheduling-1|4GJbLkaCJtTzJyyrusYT3LA8I0qZ836L|1|JSON|SMTPEmailScheduler.java#io.steplogs.example.web.service.SMTPEmailScheduler#runMailRunnable#23#|[]
2025-08-28 16:00:11.931|scheduling-1|4GJbLkaCJtTzJyyrusYT3LA8I0qZ836L|2|JSON|SMTPEmailScheduler.java#io.steplogs.example.web.service.SMTPEmailScheduler#runMailRunnable#23#R|[null]
